stop id,arrival time,route,trip id
4039,2018-04-18T13:14:49,801,2005737
591,2018-04-18T13:14:49,18,1987446
610,2018-04-18T13:14:49,801,2005740
2821,2018-04-18T13:15:49,801,2005953
559,2018-04-18T13:16:19,801,2005735
591,2018-04-18T13:16:49,803,2006964
610,2018-04-18T13:20:49,1,1985704
559,2018-04-18T13:21:19,1,1985702
559,2018-04-18T13:21:19,801,2005729
4039,2018-04-18T13:21:49,801,2005736
591,2018-04-18T13:22:49,803,2006963
591,2018-04-18T13:23:49,3,1989859
610,2018-04-18T13:24:49,801,2005739
559,2018-04-18T13:26:49,801,2005734
610,2018-04-18T13:27:19,801,2005738
4039,2018-04-18T13:28:49,801,2005735
591,2018-04-18T13:30:49,1,1985703
591,2018-04-18T13:31:49,801,2005737
591,2018-04-18T13:32:49,19,1987650
2821,2018-04-18T13:33:19,801,2005740
591,2018-04-18T13:33:49,803,2006962
591,2018-04-18T13:33:49,801,2005736
559,2018-04-18T13:35:49,801,2005733
4039,2018-04-18T13:37:19,1,1985702
2821,2018-04-18T13:38:19,275,1989628
591,2018-04-18T13:38:49,5,1994688
4039,2018-04-18T13:40:49,801,2005734
2821,2018-04-18T13:41:49,801,2005739
591,2018-04-18T13:42:49,803,2006961
2821,2018-04-18T13:44:49,801,2005738
591,2018-04-18T13:45:49,801,2005735
610,2018-04-18T13:46:49,801,2005737
559,2018-04-18T13:48:49,801,2005732
591,2018-04-18T13:49:19,3,1989858
610,2018-04-18T13:49:49,1,1985703
559,2018-04-18T13:51:49,1,1985701
4039,2018-04-18T13:51:49,801,2005733
591,2018-04-18T13:51:49,18,1987445
610,2018-04-18T13:54:49,801,2005736
591,2018-04-18T13:55:49,801,2005734
559,2018-04-18T13:57:49,801,2005731
591,2018-04-18T13:58:19,1,1985702
591,2018-04-18T13:58:49,803,2006960
591,2018-04-18T14:00:49,19,1987649
610,2018-04-18T14:00:49,801,2005735
2821,2018-04-18T14:01:49,240,1989215
4039,2018-04-18T14:04:49,801,2005732
591,2018-04-18T14:04:49,803,2006959
559,2018-04-18T14:05:49,801,2005730
2821,2018-04-18T14:05:49,801,2005737
591,2018-04-18T14:06:49,5,1994687
2821,2018-04-18T14:08:49,275,1989627
4039,2018-04-18T14:10:49,801,2005731
591,2018-04-18T14:10:49,801,2005733
610,2018-04-18T14:11:19,801,2005734
4039,2018-04-18T14:12:49,1,1985701
2821,2018-04-18T14:14:19,801,2005736
559,2018-04-18T14:16:49,801,2005729
591,2018-04-18T14:17:51,803,2006958
591,2018-04-18T14:18:49,18,1987444
610,2018-04-18T14:18:49,1,1985702
591,2018-04-18T14:19:49,801,2005732
2821,2018-04-18T14:20:49,801,2005735
4039,2018-04-18T14:21:19,801,2005730
591,2018-04-18T14:21:49,3,1989857
